% generated by FindSubsumingRelation script %
% (c) 2016 Ali Parsai --- www.parsai.net    %




@relation 'subsuming'
@attribute 'IsSubsuming' { 'True', 'False' }
@attribute 'IsRedundant' { 'True', 'False' }
@attribute 'MutantType' { 'arithmeticOperatorReplacementBinary', 'arithmeticOperatorReplacementShortcut', 'arithmeticOperatorReplacementUnary', 'logicalOperatorReplacement', 'shiftOperatorReplacement', 'relationalOperatorReplacement', 'conditionalOperatorReplacement', 'conditionalOperatorDeletion', 'assignmentOperatorReplacementShortcut' }
@attribute 'TimesCovered' numeric


@data
False,False,relationalOperatorReplacement,36
False,False,relationalOperatorReplacement,219
False,False,relationalOperatorReplacement,17
False,False,relationalOperatorReplacement,12
False,False,relationalOperatorReplacement,88
False,False,relationalOperatorReplacement,75
False,False,relationalOperatorReplacement,15
False,False,arithmeticOperatorReplacementUnary,91
False,False,relationalOperatorReplacement,12
False,False,conditionalOperatorReplacement,38
False,False,conditionalOperatorDeletion,40
False,False,arithmeticOperatorReplacementBinary,7
True,False,relationalOperatorReplacement,9
False,False,relationalOperatorReplacement,38
True,False,conditionalOperatorReplacement,48
False,False,conditionalOperatorReplacement,48
False,False,relationalOperatorReplacement,9
False,False,conditionalOperatorReplacement,48
False,False,conditionalOperatorReplacement,48
False,False,conditionalOperatorReplacement,48
False,False,relationalOperatorReplacement,18
False,False,relationalOperatorReplacement,8
False,False,relationalOperatorReplacement,22
False,False,conditionalOperatorReplacement,48
False,False,relationalOperatorReplacement,9
False,False,relationalOperatorReplacement,102
False,False,relationalOperatorReplacement,50
True,False,conditionalOperatorReplacement,20
True,False,arithmeticOperatorReplacementUnary,20
True,False,arithmeticOperatorReplacementShortcut,5
True,False,arithmeticOperatorReplacementBinary,3
False,False,relationalOperatorReplacement,20
False,False,conditionalOperatorDeletion,1543
False,False,relationalOperatorReplacement,1567
True,False,conditionalOperatorReplacement,1543
False,False,conditionalOperatorReplacement,1543
False,False,relationalOperatorReplacement,1713
True,False,conditionalOperatorDeletion,138
False,False,relationalOperatorReplacement,108
False,False,arithmeticOperatorReplacementUnary,40
False,False,arithmeticOperatorReplacementUnary,32
False,False,relationalOperatorReplacement,26
False,False,conditionalOperatorDeletion,48
False,False,relationalOperatorReplacement,42
False,False,conditionalOperatorDeletion,44
False,False,relationalOperatorReplacement,22
False,False,relationalOperatorReplacement,110
False,False,conditionalOperatorDeletion,26
False,False,relationalOperatorReplacement,40
False,False,relationalOperatorReplacement,40
True,False,relationalOperatorReplacement,6
False,False,arithmeticOperatorReplacementBinary,32
False,False,relationalOperatorReplacement,32
False,False,relationalOperatorReplacement,14
True,False,conditionalOperatorReplacement,6
False,False,conditionalOperatorReplacement,221
False,False,conditionalOperatorReplacement,22
False,False,conditionalOperatorDeletion,138
False,False,relationalOperatorReplacement,26
False,False,relationalOperatorReplacement,26
False,False,arithmeticOperatorReplacementShortcut,14
False,False,conditionalOperatorDeletion,221
True,False,relationalOperatorReplacement,4
True,False,arithmeticOperatorReplacementBinary,16
False,False,relationalOperatorReplacement,151
True,False,conditionalOperatorReplacement,4
False,False,conditionalOperatorReplacement,44
True,False,arithmeticOperatorReplacementBinary,22
False,False,relationalOperatorReplacement,221
True,False,relationalOperatorReplacement,12
False,False,relationalOperatorReplacement,32
False,False,conditionalOperatorReplacement,208
False,False,relationalOperatorReplacement,48
False,False,conditionalOperatorReplacement,26
False,False,arithmeticOperatorReplacementBinary,14
False,False,relationalOperatorReplacement,20
True,False,conditionalOperatorReplacement,26
False,False,conditionalOperatorDeletion,108
False,False,relationalOperatorReplacement,135
True,False,arithmeticOperatorReplacementBinary,6
False,False,conditionalOperatorReplacement,44
False,False,arithmeticOperatorReplacementShortcut,32
False,False,conditionalOperatorReplacement,20
False,False,conditionalOperatorReplacement,699
True,False,relationalOperatorReplacement,3
False,False,relationalOperatorReplacement,178
False,False,relationalOperatorReplacement,6
False,False,relationalOperatorReplacement,21
False,False,relationalOperatorReplacement,45
True,False,relationalOperatorReplacement,201
False,False,relationalOperatorReplacement,61
False,False,relationalOperatorReplacement,65
False,False,conditionalOperatorDeletion,48
False,False,relationalOperatorReplacement,235
True,False,arithmeticOperatorReplacementBinary,3
True,False,conditionalOperatorReplacement,201
False,False,arithmeticOperatorReplacementUnary,65
True,False,conditionalOperatorReplacement,501
True,False,arithmeticOperatorReplacementUnary,61
False,False,conditionalOperatorReplacement,50
True,False,arithmeticOperatorReplacementBinary,50
False,False,arithmeticOperatorReplacementShortcut,45
True,False,conditionalOperatorDeletion,201
False,False,conditionalOperatorReplacement,201
True,False,relationalOperatorReplacement,3
False,False,relationalOperatorReplacement,63
True,False,arithmeticOperatorReplacementBinary,38
False,False,relationalOperatorReplacement,50
False,False,conditionalOperatorReplacement,1226
False,False,conditionalOperatorDeletion,45
False,False,relationalOperatorReplacement,205
False,False,relationalOperatorReplacement,225
False,False,conditionalOperatorDeletion,59
True,False,conditionalOperatorReplacement,381
False,False,conditionalOperatorDeletion,232
False,False,conditionalOperatorDeletion,399
False,False,conditionalOperatorReplacement,59
False,False,conditionalOperatorReplacement,399
False,False,relationalOperatorReplacement,59
False,False,conditionalOperatorDeletion,202
False,False,relationalOperatorReplacement,232
False,False,conditionalOperatorDeletion,59
False,False,conditionalOperatorDeletion,391
False,False,conditionalOperatorReplacement,232
False,False,relationalOperatorReplacement,419
False,False,relationalOperatorReplacement,62
True,False,relationalOperatorReplacement,2
False,False,relationalOperatorReplacement,62
False,False,relationalOperatorReplacement,62
False,False,relationalOperatorReplacement,78
False,False,relationalOperatorReplacement,571
False,False,relationalOperatorReplacement,18
False,False,conditionalOperatorReplacement,571
False,False,relationalOperatorReplacement,571
True,False,conditionalOperatorReplacement,18
False,False,relationalOperatorReplacement,1367
False,False,arithmeticOperatorReplacementUnary,0
False,False,arithmeticOperatorReplacementUnary,78
False,False,relationalOperatorReplacement,1367
False,False,relationalOperatorReplacement,1772
False,False,conditionalOperatorReplacement,571
False,False,relationalOperatorReplacement,3237
False,False,conditionalOperatorReplacement,62
False,False,conditionalOperatorReplacement,571
False,False,relationalOperatorReplacement,18
False,False,conditionalOperatorReplacement,1367
False,False,relationalOperatorReplacement,227
True,False,relationalOperatorReplacement,10
False,False,arithmeticOperatorReplacementUnary,0
True,False,relationalOperatorReplacement,25
False,True,relationalOperatorReplacement,13
False,True,conditionalOperatorReplacement,22
False,True,relationalOperatorReplacement,22
False,True,conditionalOperatorReplacement,48
False,True,relationalOperatorReplacement,9
False,True,conditionalOperatorDeletion,409
False,True,arithmeticOperatorReplacementUnary,302
False,True,conditionalOperatorReplacement,38
False,True,relationalOperatorReplacement,267
True,True,relationalOperatorReplacement,3
False,True,relationalOperatorReplacement,75
True,True,relationalOperatorReplacement,18
True,True,conditionalOperatorReplacement,38
False,True,relationalOperatorReplacement,26
False,True,relationalOperatorReplacement,32
False,True,conditionalOperatorReplacement,35
False,True,relationalOperatorReplacement,1543
False,True,arithmeticOperatorReplacementBinary,211
False,True,relationalOperatorReplacement,12
False,True,relationalOperatorReplacement,166
True,True,conditionalOperatorReplacement,12
False,True,relationalOperatorReplacement,661
True,True,conditionalOperatorReplacement,24
False,True,conditionalOperatorReplacement,12
False,True,conditionalOperatorReplacement,208
False,True,relationalOperatorReplacement,5
False,True,conditionalOperatorReplacement,48
False,True,conditionalOperatorDeletion,38
True,True,relationalOperatorReplacement,356
False,True,relationalOperatorReplacement,2
True,True,relationalOperatorReplacement,3
False,True,relationalOperatorReplacement,26
False,True,relationalOperatorReplacement,8
False,True,relationalOperatorReplacement,38
True,True,conditionalOperatorReplacement,33
False,True,relationalOperatorReplacement,12
False,True,arithmeticOperatorReplacementBinary,56
True,True,conditionalOperatorDeletion,6
False,True,relationalOperatorReplacement,36
False,True,relationalOperatorReplacement,14
False,True,conditionalOperatorReplacement,48
True,True,conditionalOperatorReplacement,44
False,True,relationalOperatorReplacement,48
True,True,relationalOperatorReplacement,19
True,True,relationalOperatorReplacement,212
False,True,relationalOperatorReplacement,5
False,True,arithmeticOperatorReplacementBinary,166
True,True,conditionalOperatorReplacement,59
False,True,conditionalOperatorReplacement,42
True,True,relationalOperatorReplacement,35
False,False,arithmeticOperatorReplacementBinary,14948719
False,False,relationalOperatorReplacement,3181
True,False,arithmeticOperatorReplacementUnary,8425
True,False,arithmeticOperatorReplacementUnary,8427
False,False,arithmeticOperatorReplacementBinary,8428
False,False,relationalOperatorReplacement,3162
False,False,relationalOperatorReplacement,28
False,False,arithmeticOperatorReplacementUnary,0
True,False,relationalOperatorReplacement,3159
True,False,conditionalOperatorDeletion,24
True,False,relationalOperatorReplacement,4
False,False,relationalOperatorReplacement,28
False,False,relationalOperatorReplacement,27
True,False,conditionalOperatorReplacement,28
False,False,relationalOperatorReplacement,3160
False,False,arithmeticOperatorReplacementUnary,0
False,False,relationalOperatorReplacement,19
False,False,relationalOperatorReplacement,9493
False,False,conditionalOperatorReplacement,20
False,False,relationalOperatorReplacement,20
False,False,relationalOperatorReplacement,20
False,False,arithmeticOperatorReplacementUnary,20
False,False,relationalOperatorReplacement,25
False,False,relationalOperatorReplacement,235
False,False,relationalOperatorReplacement,27
False,False,relationalOperatorReplacement,12
True,False,relationalOperatorReplacement,3
True,False,arithmeticOperatorReplacementBinary,27
True,False,conditionalOperatorReplacement,92
False,False,relationalOperatorReplacement,90
False,False,relationalOperatorReplacement,92
False,False,relationalOperatorReplacement,8
False,False,relationalOperatorReplacement,25
False,False,relationalOperatorReplacement,1
True,False,relationalOperatorReplacement,1
True,False,relationalOperatorReplacement,4
False,False,relationalOperatorReplacement,62635
False,False,conditionalOperatorReplacement,12764
False,False,arithmeticOperatorReplacementShortcut,6361
False,False,relationalOperatorReplacement,6398
False,False,arithmeticOperatorReplacementShortcut,6398
True,False,conditionalOperatorDeletion,62635
False,False,arithmeticOperatorReplacementBinary,19162
False,False,conditionalOperatorReplacement,62635
False,False,conditionalOperatorReplacement,64
False,False,conditionalOperatorDeletion,12724
False,False,conditionalOperatorDeletion,62677
False,False,relationalOperatorReplacement,2139
True,False,relationalOperatorReplacement,703
False,False,relationalOperatorReplacement,2145
True,False,relationalOperatorReplacement,6
False,False,relationalOperatorReplacement,908
False,False,relationalOperatorReplacement,2145
False,False,relationalOperatorReplacement,1454
False,False,relationalOperatorReplacement,15
False,False,relationalOperatorReplacement,4
True,True,arithmeticOperatorReplacementShortcut,25
False,True,relationalOperatorReplacement,62635
True,True,arithmeticOperatorReplacementShortcut,2
False,True,relationalOperatorReplacement,3161
False,True,conditionalOperatorReplacement,8
False,True,arithmeticOperatorReplacementBinary,14768
False,True,arithmeticOperatorReplacementBinary,3182
False,True,relationalOperatorReplacement,26
False,True,arithmeticOperatorReplacementBinary,12
False,True,relationalOperatorReplacement,19162
False,True,relationalOperatorReplacement,92
False,True,shiftOperatorReplacement,90
False,True,relationalOperatorReplacement,393
False,True,arithmeticOperatorReplacementUnary,64
True,True,arithmeticOperatorReplacementUnary,0
True,True,conditionalOperatorDeletion,8
False,True,shiftOperatorReplacement,82
False,True,relationalOperatorReplacement,14768
False,True,arithmeticOperatorReplacementBinary,6357
False,True,relationalOperatorReplacement,9518
False,True,relationalOperatorReplacement,9493
False,True,relationalOperatorReplacement,3161
False,True,conditionalOperatorReplacement,19162
True,True,relationalOperatorReplacement,3195
False,True,relationalOperatorReplacement,38
False,True,relationalOperatorReplacement,15824
False,True,arithmeticOperatorReplacementBinary,28
False,True,arithmeticOperatorReplacementUnary,0
False,True,arithmeticOperatorReplacementShortcut,89899
True,True,conditionalOperatorReplacement,19162
False,True,arithmeticOperatorReplacementShortcut,21
False,True,arithmeticOperatorReplacementBinary,8425
False,True,relationalOperatorReplacement,32
True,True,arithmeticOperatorReplacementBinary,2
True,True,relationalOperatorReplacement,2
True,True,conditionalOperatorDeletion,3160
True,True,arithmeticOperatorReplacementShortcut,3160
False,True,arithmeticOperatorReplacementShortcut,6422
True,True,conditionalOperatorReplacement,5
False,True,conditionalOperatorDeletion,28
True,False,relationalOperatorReplacement,9223
False,False,arithmeticOperatorReplacementShortcut,138486
True,False,conditionalOperatorReplacement,4
True,False,relationalOperatorReplacement,2
True,False,conditionalOperatorReplacement,3
True,False,relationalOperatorReplacement,4
False,False,arithmeticOperatorReplacementShortcut,4
False,False,relationalOperatorReplacement,37
False,False,conditionalOperatorDeletion,200
False,False,conditionalOperatorDeletion,177
True,False,relationalOperatorReplacement,145
True,False,relationalOperatorReplacement,144
True,False,arithmeticOperatorReplacementUnary,57
False,False,relationalOperatorReplacement,294
False,False,relationalOperatorReplacement,193117
True,False,relationalOperatorReplacement,4
False,False,arithmeticOperatorReplacementShortcut,29749
True,False,relationalOperatorReplacement,12
True,False,relationalOperatorReplacement,740
False,False,arithmeticOperatorReplacementBinary,2134
False,False,conditionalOperatorReplacement,2293
True,False,relationalOperatorReplacement,10
False,False,conditionalOperatorDeletion,2006
False,False,relationalOperatorReplacement,4667
True,False,relationalOperatorReplacement,4
False,False,assignmentOperatorReplacementShortcut,65581
False,False,relationalOperatorReplacement,19085
False,False,relationalOperatorReplacement,240009
False,False,relationalOperatorReplacement,245331
False,False,relationalOperatorReplacement,37914
False,False,conditionalOperatorReplacement,130202
False,False,relationalOperatorReplacement,47304
False,False,relationalOperatorReplacement,62321
False,False,relationalOperatorReplacement,5322
False,False,arithmeticOperatorReplacementBinary,37914
True,False,relationalOperatorReplacement,73361
False,False,relationalOperatorReplacement,14
False,False,conditionalOperatorDeletion,28
True,False,conditionalOperatorDeletion,16
False,False,relationalOperatorReplacement,116
True,False,conditionalOperatorDeletion,90
False,False,assignmentOperatorReplacementShortcut,20
False,False,relationalOperatorReplacement,66
False,False,conditionalOperatorReplacement,66
False,False,arithmeticOperatorReplacementUnary,31
False,False,relationalOperatorReplacement,10
False,False,arithmeticOperatorReplacementUnary,39
False,False,assignmentOperatorReplacementShortcut,17
False,False,assignmentOperatorReplacementShortcut,40
True,False,arithmeticOperatorReplacementUnary,48
False,False,relationalOperatorReplacement,116
False,False,relationalOperatorReplacement,66
True,False,arithmeticOperatorReplacementUnary,348
False,False,arithmeticOperatorReplacementUnary,76
True,False,arithmeticOperatorReplacementUnary,725
False,False,arithmeticOperatorReplacementShortcut,151
False,False,arithmeticOperatorReplacementUnary,3506
False,False,relationalOperatorReplacement,4260
False,False,arithmeticOperatorReplacementUnary,375
False,False,conditionalOperatorReplacement,4260
False,False,arithmeticOperatorReplacementUnary,265
False,False,arithmeticOperatorReplacementUnary,348
True,False,conditionalOperatorDeletion,14
True,False,relationalOperatorReplacement,20
False,False,conditionalOperatorReplacement,20
True,False,conditionalOperatorDeletion,9836
False,False,arithmeticOperatorReplacementShortcut,9836
True,False,conditionalOperatorReplacement,12
False,False,relationalOperatorReplacement,15
False,False,relationalOperatorReplacement,104
False,False,relationalOperatorReplacement,172355
False,False,relationalOperatorReplacement,260
False,False,conditionalOperatorDeletion,793
True,False,conditionalOperatorReplacement,33
True,False,relationalOperatorReplacement,33
False,False,relationalOperatorReplacement,33
False,False,relationalOperatorReplacement,5
True,False,arithmeticOperatorReplacementShortcut,2
False,False,relationalOperatorReplacement,24
True,False,conditionalOperatorDeletion,20
True,False,relationalOperatorReplacement,8
False,False,conditionalOperatorDeletion,700
False,False,relationalOperatorReplacement,3
True,False,conditionalOperatorReplacement,21
False,False,conditionalOperatorDeletion,22
False,False,relationalOperatorReplacement,37249
False,False,relationalOperatorReplacement,168400
False,False,relationalOperatorReplacement,173
False,False,relationalOperatorReplacement,4269
True,False,relationalOperatorReplacement,5280
False,False,relationalOperatorReplacement,48
False,False,relationalOperatorReplacement,55
False,False,relationalOperatorReplacement,193186
False,False,relationalOperatorReplacement,16
True,False,conditionalOperatorReplacement,16
False,False,relationalOperatorReplacement,12
True,False,relationalOperatorReplacement,11
False,False,arithmeticOperatorReplacementShortcut,121307
True,False,relationalOperatorReplacement,193200
False,False,relationalOperatorReplacement,2999
False,False,conditionalOperatorDeletion,884890
True,False,arithmeticOperatorReplacementBinary,1
True,False,relationalOperatorReplacement,3
True,False,relationalOperatorReplacement,5
False,False,conditionalOperatorReplacement,8123
True,False,conditionalOperatorReplacement,2
False,False,relationalOperatorReplacement,3682
True,False,conditionalOperatorReplacement,7702
False,False,conditionalOperatorReplacement,844
False,False,relationalOperatorReplacement,7687
False,False,relationalOperatorReplacement,8123
False,False,conditionalOperatorReplacement,133747
False,False,relationalOperatorReplacement,880644
False,False,relationalOperatorReplacement,11333
False,False,conditionalOperatorDeletion,549706
True,False,relationalOperatorReplacement,7
True,False,conditionalOperatorDeletion,133747
False,False,relationalOperatorReplacement,324388
False,False,relationalOperatorReplacement,652897
False,False,conditionalOperatorReplacement,133754
False,False,relationalOperatorReplacement,1270
False,False,conditionalOperatorReplacement,5497482
False,False,relationalOperatorReplacement,1252332
False,False,relationalOperatorReplacement,133758
False,False,conditionalOperatorDeletion,559291
True,False,conditionalOperatorDeletion,133754
False,False,conditionalOperatorDeletion,84223
True,False,conditionalOperatorReplacement,397619
False,False,relationalOperatorReplacement,3584
False,False,relationalOperatorReplacement,74369
False,False,arithmeticOperatorReplacementShortcut,1787
False,False,relationalOperatorReplacement,606
True,False,arithmeticOperatorReplacementBinary,1
False,False,conditionalOperatorDeletion,9
False,False,relationalOperatorReplacement,440
True,False,relationalOperatorReplacement,10
False,False,relationalOperatorReplacement,111
False,False,relationalOperatorReplacement,1430
True,False,conditionalOperatorReplacement,2
False,False,relationalOperatorReplacement,4064
False,False,conditionalOperatorReplacement,2010
False,False,conditionalOperatorReplacement,4
False,False,relationalOperatorReplacement,1215138
False,False,relationalOperatorReplacement,85279
False,False,relationalOperatorReplacement,85279
False,False,relationalOperatorReplacement,567153
False,False,relationalOperatorReplacement,567153
False,False,relationalOperatorReplacement,85279
False,False,conditionalOperatorDeletion,114053
False,False,arithmeticOperatorReplacementShortcut,118509
False,False,arithmeticOperatorReplacementShortcut,20
False,False,relationalOperatorReplacement,23847
False,False,relationalOperatorReplacement,100
False,False,arithmeticOperatorReplacementBinary,13
False,False,arithmeticOperatorReplacementBinary,87
False,False,relationalOperatorReplacement,0
False,False,relationalOperatorReplacement,10
True,False,relationalOperatorReplacement,10
False,False,conditionalOperatorReplacement,18
False,False,relationalOperatorReplacement,18
True,False,relationalOperatorReplacement,1
False,False,relationalOperatorReplacement,5
False,True,relationalOperatorReplacement,18229
False,True,relationalOperatorReplacement,8
False,True,relationalOperatorReplacement,404698
False,True,arithmeticOperatorReplacementShortcut,62321
False,True,relationalOperatorReplacement,1985
False,True,relationalOperatorReplacement,2293
False,True,conditionalOperatorDeletion,287486
False,True,conditionalOperatorReplacement,955326
False,True,relationalOperatorReplacement,10674
False,True,relationalOperatorReplacement,33260
False,True,relationalOperatorReplacement,18
False,True,relationalOperatorReplacement,5
False,True,arithmeticOperatorReplacementShortcut,24
True,True,relationalOperatorReplacement,2
False,True,arithmeticOperatorReplacementBinary,121307
False,True,conditionalOperatorReplacement,232753
False,True,conditionalOperatorDeletion,6
True,True,relationalOperatorReplacement,1
False,True,arithmeticOperatorReplacementShortcut,6
True,True,relationalOperatorReplacement,8
True,True,relationalOperatorReplacement,8
False,True,arithmeticOperatorReplacementShortcut,489
False,True,relationalOperatorReplacement,3506
False,True,relationalOperatorReplacement,14
False,True,arithmeticOperatorReplacementUnary,10
False,True,relationalOperatorReplacement,3506
False,True,relationalOperatorReplacement,8
False,True,relationalOperatorReplacement,2202
False,True,arithmeticOperatorReplacementBinary,14
False,True,assignmentOperatorReplacementShortcut,250
True,True,arithmeticOperatorReplacementBinary,5
True,True,relationalOperatorReplacement,2
False,True,relationalOperatorReplacement,7
False,True,relationalOperatorReplacement,13259
True,True,conditionalOperatorReplacement,201027
False,True,arithmeticOperatorReplacementShortcut,40
False,True,relationalOperatorReplacement,6
False,True,relationalOperatorReplacement,114653
False,True,relationalOperatorReplacement,489
False,True,relationalOperatorReplacement,28178
False,True,relationalOperatorReplacement,19916
False,True,conditionalOperatorDeletion,5
True,True,relationalOperatorReplacement,40
True,True,arithmeticOperatorReplacementUnary,103
False,True,conditionalOperatorDeletion,17
False,True,relationalOperatorReplacement,37
False,True,assignmentOperatorReplacementShortcut,56
False,True,relationalOperatorReplacement,401476
False,True,relationalOperatorReplacement,87
False,True,arithmeticOperatorReplacementShortcut,2
False,True,relationalOperatorReplacement,2010
False,True,relationalOperatorReplacement,66
False,True,arithmeticOperatorReplacementUnary,193186
True,True,relationalOperatorReplacement,24
False,True,arithmeticOperatorReplacementShortcut,60
True,True,relationalOperatorReplacement,9
False,True,relationalOperatorReplacement,57
True,True,relationalOperatorReplacement,4667
True,True,relationalOperatorReplacement,6
True,True,relationalOperatorReplacement,20
True,True,relationalOperatorReplacement,107523
False,True,arithmeticOperatorReplacementShortcut,83
False,True,relationalOperatorReplacement,10
False,True,conditionalOperatorDeletion,60
False,True,relationalOperatorReplacement,9
False,True,arithmeticOperatorReplacementBinary,26083
False,True,relationalOperatorReplacement,266
False,True,arithmeticOperatorReplacementShortcut,10872
True,True,relationalOperatorReplacement,20
False,True,relationalOperatorReplacement,14
True,True,relationalOperatorReplacement,2202
True,True,arithmeticOperatorReplacementUnary,8
False,True,relationalOperatorReplacement,46
False,True,relationalOperatorReplacement,5280
False,True,arithmeticOperatorReplacementShortcut,26083
False,True,assignmentOperatorReplacementShortcut,33
False,True,conditionalOperatorReplacement,12
True,True,arithmeticOperatorReplacementShortcut,1
False,True,relationalOperatorReplacement,567153
False,True,relationalOperatorReplacement,433
False,True,relationalOperatorReplacement,104
False,True,conditionalOperatorDeletion,15
False,True,relationalOperatorReplacement,375
False,True,arithmeticOperatorReplacementShortcut,210
False,True,relationalOperatorReplacement,32
False,True,relationalOperatorReplacement,8098
False,True,arithmeticOperatorReplacementShortcut,43829
False,True,relationalOperatorReplacement,138486
False,True,conditionalOperatorDeletion,75
